Date,PLTR,CSIQ,WMT,INTC,XOM
12/31/21,18.209999,31.290001,140.831772,48.404221,56.912106
01/03/22,18.530001,31.33,140.792831,50.011429,59.097824
01/04/22,18.17,31.17,138.213501,49.945637,61.320732
01/05/22,16.959999,29.16,140.082321,50.631752,62.083401
01/06/22,16.74,29.17,139.692963,50.763336,63.543636
01/07/22,16.559999,29.780001,141.026443,50.227604,64.064499
01/10/22,16.5,29.1,140.753906,51.891201,63.683147
01/11/22,16.889999,29.51,140.354843,52.549129,66.361794
01/12/22,16.719999,29.719999,139.615082,52.389347,66.166481
01/13/22,16.01,27.76,141.590973,51.637436,65.692146
01/14/22,16.01,28.25,141.191895,52.351753,66.845459
01/18/22,14.97,27.290001,138.719635,51.468254,67.970863
01/19/22,14.56,26.4,140.101761,50.396782,67.998772
01/20/22,14.62,26.440001,137.454285,48.911762,68.147575
01/21/22,13.53,25.18,136.451767,48.911762,67.124474
01/24/22,13.4,25.610001,136.461472,48.817772,67.701141
01/25/22,13.06,25.32,133.492813,47.934277,69.691521
01/26/22,12.75,25.940001,132.130157,48.582802,68.984657
01/27/22,12.28,25.07,132.217743,45.16161,69.86824
01/28/22,12.71,25.24,133.852951,44.860844,70.017059
01/31/22,13.71,27.99,136.081909,45.885323,70.649513
02/01/22,14.2,27.790001,137.152557,46.007507,75.179047
02/02/22,13.32,26.540001,137.094162,46.533848,74.983727
02/03/22,12.45,25.77,137.230453,45.377781,74.109451
02/04/22,12.94,26.66,135.614685,45.467754,75.718498
02/07/22,12.98,26.709999,134.281219,45.62875,76.62999
02/08/22,13.15,27.34,134.310394,46.225391,74.648911
02/09/22,13.87,28.200001,134.018417,47.267143,74.291542
02/10/22,13.56,27.91,132.45137,46.272747,73.576843
02/11/22,13.13,27.6,131.721344,45.107868,75.42942
02/14/22,13.26,27.360001,130.378143,45.06052,74.272743
02/15/22,14.17,29.33,130.786942,45.874981,73.341736
02/16/22,13.97,29.549999,129.969345,45.676102,73.680283
02/17/22,11.77,29,135.176697,45.051052,73.567444
02/18/22,11.02,28.379999,134.310394,42.655022,72.74929
02/22/22,10.48,26.52,132.811493,42.323547,71.902939
